Customer_ID,Age,Gender,Annual_Income,Spending_Score,Purchase_Frequency,Product_Category,Total_Purchases,Avg_Order_Value,City,Customer_Rating,Cluster
1,19,Female,15,39,2,Fashion,5,500,Delhi,4,2
2,21,Male,16,81,8,Electronics,18,1200,Mumbai,5,0
3,20,Female,17,6,1,Grocery,2,300,Lucknow,2,2
4,23,Female,18,77,7,Fashion,15,950,Delhi,5,0
5,31,Male,39,40,4,Beauty,8,1500,Pune,4,3
6,35,Male,40,60,6,Electronics,12,1800,Mumbai,4,3
7,40,Female,60,42,5,Fashion,10,2200,Lucknow,5,3
8,28,Male,65,55,6,Grocery,13,1100,Delhi,4,3
9,22,Female,25,76,8,Beauty,17,750,Pune,5,0
10,30,Male,45,65,7,Electronics,14,1600,Mumbai,4,3
11,25,Female,50,45,4,Fashion,9,900,Delhi,3,3
12,29,Male,55,72,7,Beauty,16,1300,Lucknow,5,0
13,33,Female,70,50,5,Electronics,11,2000,Pune,4,3
14,37,Male,80,35,3,Grocery,6,850,Mumbai,3,1
15,24,Female,35,80,9,Fashion,20,1750,Delhi,5,0
16,27,Male,42,58,6,Electronics,13,1400,Pune,4,3
17,32,Female,48,64,7,Beauty,15,1250,Lucknow,5,3
18,41,Male,75,30,3,Grocery,7,700,Delhi,3,1
19,26,Female,30,75,8,Fashion,18,1550,Mumbai,5,0
20,38,Male,68,48,5,Electronics,10,1000,Pune,4,3
21,23,Female,28,85,9,Beauty,21,1900,Delhi,5,0
22,34,Male,52,52,6,Fashion,12,1150,Lucknow,4,3
23,45,Female,90,25,2,Electronics,5,650,Mumbai,2,1
24,36,Male,72,40,4,Grocery,8,800,Pune,3,1
25,28,Female,38,70,7,Beauty,16,1450,Delhi,5,0
26,31,Male,58,62,6,Fashion,14,1350,Mumbai,4,3
27,39,Female,85,20,2,Electronics,4,600,Lucknow,2,1
28,22,Male,22,90,10,Beauty,22,2100,Delhi,5,0
29,30,Female,62,55,6,Grocery,13,1050,Pune,4,3
30,27,Male,47,68,8,Fashion,19,1650,Mumbai,5,0
